timestamp,config,method,target_model,draft_model,gamma,T_steps,decode_speedup,throughput_tok_sec,decode_throughput_tok_sec,ttft_ms,avg_itl_ms,acceptance_rate_percent,total_time_sec,total_tokens,parity_verified,perplexity
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,2,7,1.1329254419339212,15.756885062792124,15.75955793508659,66.20907783508301,63.45355650957893,80.46875,16.24686598777771,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,2,8,1.1759285361167102,16.350322367618407,16.357752422629204,68.24493408203125,61.133092992446,80.078125,15.657183647155762,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,2,9,1.158866083652911,16.081127799534123,16.1204051990918,100.82054138183594,62.03318016201842,79.6875,15.919281482696531,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,2,10,1.1022920419510942,15.334384367300483,15.33343206315459,64.18013572692871,65.2169713787004,78.90625,16.694507837295532,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,1,2.1684969402556993,30.054824728304418,30.16487396000324,64.22615051269531,33.151141334982476,77.34375,8.517767190933228,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,2,2.124965754014315,29.45774844682753,29.559333448543743,63.69614601135254,33.83026216544357,76.5625,8.690412998199463,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,3,2.0435558340264985,28.34268890714273,28.426880858946426,61.92898750305176,35.177971335018384,75.78125,9.03231167793274,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,4,2.1170977002988502,29.292213545204607,29.4498848972308,80.74641227722168,33.95599009943943,77.734375,8.739523887634277,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,5,2.1486816094453713,29.7774962502255,29.889232825688875,65.59586524963379,33.456864076502185,77.34375,8.59709620475769,256,True,1.197265625
2026-05-16 10:14:31,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,6,2.083445881663269,28.88954662640171,28.981771316426073,62.70265579223633,34.504447263829846,75.78125,8.861336708068848,256,True,1.197265625
