timestamp,config,method,target_model,draft_model,gamma,T_steps,decode_speedup,throughput_tok_sec,decode_throughput_tok_sec,ttft_ms,avg_itl_ms,acceptance_rate_percent,total_time_sec,total_tokens
2026-05-14 15:55:55,configs/gptneo_mdlm.yaml,SpecDiff,EleutherAI/gpt-neo-2.7B,kuleshov-group/mdlm-no_flashattn-fp32-owt,5,5,2.253372602247763,30.069597723548192,30.183089342800685,65.14310836791992,33.13113474378399,78.90625,8.513582468032837,256
2026-05-14 15:55:55,configs/gptneo_mdlm.yaml,SpecDiff,EleutherAI/gpt-neo-2.7B,kuleshov-group/mdlm-no_flashattn-fp32-owt,5,10,2.047393045816213,27.2616694099499,27.424069663426614,92.0729637145996,36.464318107156195,76.5625,9.390474081039429,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,Standard AR,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,0,0,1.0,14.51726680299053,14.494969716820313,41.86344146728515,68.98945079130284,0.0,17.63417339324951,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,3,3,1.652317492551891,23.856058545201925,23.950292017112133,83.97483825683594,41.753144357718675,80.859375,10.731026649475098,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,3,5,1.645165694141346,23.80437868225228,23.84662691573048,60.98771095275879,41.93465195450128,82.03125,10.754323959350586,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,3,10,1.518553540501469,21.96597188816984,22.01138758293906,69.47731971740723,45.43102956285664,78.515625,11.65438985824585,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,3,2.1389223743974566,30.8960588241269,31.003615043520533,60.999155044555664,32.25430320290958,80.46875,8.285846471786499,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,5,1.833681688348574,26.401638927871133,26.579160542900524,102.38528251647948,37.62346062005735,73.828125,9.696367740631104,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,4,10,1.8256691308139417,26.36730202750933,26.463018764081745,72.9060173034668,37.78858371809417,79.296875,9.70899486541748,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,5,3,2.111344813193437,30.494489167195763,30.60387912900451,62.682390213012695,32.675596311980605,76.953125,8.394959449768066,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,5,5,1.9335952200344348,27.833142545787,28.027404158987643,99.42960739135742,35.67936560686897,74.609375,9.197667837142944,256
2026-05-14 15:46:50,configs/redpajama_mdlm.yaml,SpecDiff,togethercomputer/RedPajama-INCITE-Base-3B-v1,kuleshov-group/mdlm-no_flashattn-fp32-owt,5,10,1.8258551194802783,26.345552741143447,26.465714664167972,81.90274238586426,37.7847344267602,76.171875,9.717010021209717,256
